orgUuid, facId, Category ID, description
58C5322A-BC7A-40D1-BF2B-FC2F28C14BD4, 1, 1, Other
58C5322A-BC7A-40D1-BF2B-FC2F28C14BD4, 1, 42, LABS
58C5322A-BC7A-40D1-BF2B-FC2F28C14BD4, 1, 43, DIAGNOSTIC TESTS
58C5322A-BC7A-40D1-BF2B-FC2F28C14BD4, 1, 44, CONSULTATIONS
58C5322A-BC7A-40D1-BF2B-FC2F28C14BD4, 1, 45, X-RAYS
58C5322A-BC7A-40D1-BF2B-FC2F28C14BD4, 1, 46, MISCELLANEOUS
58C5322A-BC7A-40D1-BF2B-FC2F28C14BD4, 1, 47, ADMISSION DOCUMENTS
58C5322A-BC7A-40D1-BF2B-FC2F28C14BD4, 1, 48, CONSENTS
58C5322A-BC7A-40D1-BF2B-FC2F28C14BD4, 1, 49, Lab Result
58C5322A-BC7A-40D1-BF2B-FC2F28C14BD4, 1, 51, Advance Directives
58C5322A-BC7A-40D1-BF2B-FC2F28C14BD4, 1, 52, Pharmacy
58C5322A-BC7A-40D1-BF2B-FC2F28C14BD4, 1, 53, Diagnostic
58C5322A-BC7A-40D1-BF2B-FC2F28C14BD4, 1, 54, Laboratory
58C5322A-BC7A-40D1-BF2B-FC2F28C14BD4, 1, 55, Diet
58C5322A-BC7A-40D1-BF2B-FC2F28C14BD4, 1, 56, Supplement
58C5322A-BC7A-40D1-BF2B-FC2F28C14BD4, 1, 57, Enteral Feed
58C5322A-BC7A-40D1-BF2B-FC2F28C14BD4, 1, 58, Clinical - Other
58C5322A-BC7A-40D1-BF2B-FC2F28C14BD4, 1, 59, Lease/Rental Agreement
58C5322A-BC7A-40D1-BF2B-FC2F28C14BD4, 1, 60, Clinical Document
58C5322A-BC7A-40D1-BF2B-FC2F28C14BD4, 1, 61, Progress Note
58C5322A-BC7A-40D1-BF2B-FC2F28C14BD4, 1, 62, Advance Care Planning
58C5322A-BC7A-40D1-BF2B-FC2F28C14BD4, 1, 63, CCDA
58C5322A-BC7A-40D1-BF2B-FC2F28C14BD4, 1, 64, Medicare A Certification and Recertification
58C5322A-BC7A-40D1-BF2B-FC2F28C14BD4, 1, 75, Behavioral Health
